date,symbolid,marketValue,vol,basicVol,fPrice,fPriceDev,open,max,min,close,pe,realBuyersCount,realSellersCount,legalBuyersCount,legalSellersCount,realBuyersVol,realSellersVol,legalBuyersVol,legalSellersVol
14000703,فاراك,62577652779,33420682,8305648,1872,4,1890,1896,1840,1896,67,896,648,1,2,33396682,32990846,24000,429836
14000704,فاراك,39685753579,21335648,8305648,1860,-1,1899,1920,1829,1840,66,604,484,1,1,21323648,20035648,12000,1300000
14000706,فاراك,73446154449,40763579,8305648,1802,-3,1841,1868,1768,1783,64,1005,543,0,2,40763579,30667784,0,10095795
14000707,فاراك,54090435486,29925154,8296460,1808,0,1777,1832,1771,1819,65,680,524,2,0,28772009,29925154,1153145,0
14000710,فاراك,66194768190,36224587,8296460,1827,1,1822,1859,1808,1832,65,719,646,0,3,36224587,35652766,0,571821
14000711,فاراك,69450555236,38774573,8296460,1791,-2,1813,1840,1736,1810,64,809,579,2,1,38597220,38609573,177353,165000
14000712,فاراك,51057635093,28264483,8296460,1806,1,1800,1826,1793,1808,65,695,500,1,0,27764483,28264483,500000,0
14000714,فاراك,51318686027,28289864,8269019,1814,0,1810,1844,1800,1803,65,595,496,0,3,28289864,27038516,0,1251348
14000717,فاراك,94010151008,53899013,8269019,1744,-4,1816,1847,1724,1730,62,716,563,2,1,53495013,53893013,404000,6000
14000718,فاراك,65700000000,39036911,8269019,1684,-3,1729,1729,1657,1684,60,731,580,1,2,39027911,38600079,9000,436832
14000719,فاراك,39200000000,23395719,8269019,1676,0,1666,1723,1647,1655,60,608,443,0,3,23395719,20545489,0,2850230
14000720,فاراك,1.03E+11,64508083,8269019,1599,-5,1680,1680,1593,1593,57,654,326,1,2,61208083,64195802,3300000,312281
14000721,فاراك,1.06E+11,66655342,8269019,1585,-1,1541,1620,1540,1619,57,572,674,2,2,60267892,63655342,6387450,3000000
